food_id,name,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbs,fiber,sugar,protein,price,type
1,Chipoitle Chicken Club Flatbread,670,35,10,0,85,1470,58,3,6,34,7.59,Grilled Flatbread
2,BBQ Bacon Chicken Flatbread,660,22,9,0,85,1760,81,3,29,36,7.59,Grilled Flatbread
3,Pesto Chicken Flatbread,600,29,9,0,55,1220,58,3,6,30,7.59,Grilled Flatbread
4,Santa Fe Flatbread,720,36,10,0,70,1680,64,2,7,31,7.59,Grilled Flatbread
5,Nashville Hot Flatbread,580,23,6,0,65,1860,66,3,15,31,7.59,Grilled Flatbread
6,Mom's Grilled Cheese Artisan Melt,1160,58,24,0,105,2350,118,3,8,37,7.89,Artisan Melt
7,Grilled Cheese & Bacon Artisan Melt,1220,62,25,0,125,2630,118,3,8,43,7.89,Artisan Melt
8,Chicken Bacon Ranch Artisan Melt,1070,52,18,0,130,2390,105,3,1,44,8.19,Artisan Melt
9,Chicken Caprese Artisan Melt,940,35,17,0,105,2110,110,4,4,37,8.19,Artisan Melt
10,Buffalo Chicken Artisan Melt,1020,47,18,0,125,3770,106,3,1,44,8.19,Artisan Melt
11,Chicken Bacon Ranch Crunchadilla,690,41,11,0,90,1569,53,1,3,29,7.58,Crunchadilla
12,The Cowboy Crunchadilla,640,22,9,0,80,1990,78,1,26,34,7.58,Crunchadilla
13,Supreme Crunchadilla,710,41,13,0,85,1410,58,2,4,27,7.58,Crunchadilla
14,Chicken Avacado Crunchadilla,650,36,10,0,75,1660,54,2,3,29,7.58,Crunchadilla
15,On the Border Crunchadilla,670,37,10,0,65,1490,60,3,4,25,7.58,Crunchadilla
16,Berry Burn Smoothie,300,0,0,0,0,25,73,1,60,0,4.99,Purpose Blend Smoothie
17,Super Fuel Smoothie,270,2.5,1.5,0,10,45,56,0,54,3,4.99,Purpose Blend Smoothie
18,Goin' Green Smoothie,280,0.5,0,0,0,35,70,1,57,1,4.99,Purpose Blend Smoothie
19,Acai Energy Smoothie,410,5,1,0,0,30,77,0,73,3,4.99,Purpose Blend Smoothie
20,PB Protein Smoothie,480,12,2.5,0,5,410,69,2,63,24,4.99,Purpose Blend Smoothie
21,Super C Immune Support,340,2.5,1.5,0,10,50,75,0,68,3,4.99,Purpose Blend Smoothie
22,Orange Sunrise Smoothie,330,2.5,1.5,0,10,50,73,0,68,3,4.89,Classic Blend Smoothie
23,Banana Berry Smoothie,330,0,0,0,5,200,70,1,65,12,4.89,Classic Blend Smoothie
24,Peach on the Beach Smoothie,330,2.5,1.5,0,10,35,75,0,69,3,4.89,Classic Blend Smoothie
25,Bangin' Berry Smoothie,330,0,0,0,0,25,80,1,77,0,4.89,Classic Blend Smoothie
26,Wild Strawberry Smoothie,300,0,0,0,0,15,76,1,73,0,4.89,Classic Blend Smoothie
27,Carribean Craze Smoothie,300,0,0,0,0,25,73,1,69,0,4.89,Classic Blend Smoothie
28,Maui Mango Smoothie,390,0,0,0,0,25,97,1,84,1,4.89,Classic Blend Smoothie
29,Tropical Therapy Smoothie,430,11,11,0,0,35,79,1,75,0,4.89,Classic Blend Smoothie
30,Mango Me Crazy Smoothie,320,0,0,0,0,15,80,1,74,0,4.89,Classic Blend Smoothie
31,Mexican Rice Bowl,710,29,6,0,65,1380,83,2,6,25,7.89,Rice Bowl
32,Baja Queso Rice Bowl,680,33,6,0,65,1100,74,2,5,21,7.89,Rice Bowl
33,Thai Rice Bowl,560,10,1,0,30,1740,96,4,25,23,7.89,Rice Bowl
34,Frito Grande Rice Bowl,630,21,5,0,45,810,87,3,2,23,7.89,Rice Bowl
35,Meatless Mexican Rice Bowl,730,29,7,0,35,1170,91,2,8,24,7.89,Rice Bowl
36,Avocado Power Rice Bowl,810,30,8,0,170,2020,94,3,4,39,7.89,Rice Bowl
37,Acai Banana Berry,580,8,0.5,0,0,25,126,4,88,7,7.99,Acai Bowl
38,Acai Peanut Butter,600,23,7,0,75,1810,70,2,3,27,7.99,Acai Bowl
39,Basil Chic ken,750,41,6,0,140,800,47,3,4,46,10.99,Toasted Sandwich
40,1/2 Basil Chicken,375,20.5,3,0,70,400,23.5,1.5,2,23,7.99,Toasted Sandwich
41,Blueberry Pesto,640,39,13,0,50,800,49,3,6,24,9.99,Toasted Sandwich
42,1/2 Blueberry Pesto,320,19.5,6.5,0,25,400,24.5,1.5,3,12,6.99,Toasted Sandwich
43,Chile Steak,820,50,10,0,125,1310,51,4,5,41,12.49,Toasted Sandwich
44,1/2 Chile Steak,410,25,5,0,62.5,655,25.5,2,2.5,20.5,8.49,Toasted Sandwich
45,Chicken Banh Mi,750,47,5,0,160,1400,48,4,4,35,12.49,Toasted Sandwich
46,1/2 Chicken Banh Mi,375,23.5,2.5,0,80,700,24,2,2,17.5,6.99,Toasted Sandwich
47,Chicken Bacon Club,890,32,9,0,155,1650,90,6,4,59,11.49,Toasted Sandwich
48,1/2 Chicken Bacon Club,445,16,4.5,0,77.5,825,45,3,2,29.5,6.99,Toasted Sandwich
49,Whole Farmer,810,54,10,0,140,840,36,9,14,52,12.99,Salad
50,1/2 Farmer,405,27,5,0,70,420,18,4.5,7,26,8.99,Salad
51,Whole Thai Cocounut,740,42,10,0,100,900,52,10,17,44,12.99,Salad
52,1/2 Thai Coconut,370,21,5,0,50,450,26,5,8.5,22,8.99,Salad
53,Buddha Bowl,600,28,4,0,0,1220,69,7,9,23,11.49,Bowl
54,Smokey Chicken Bowl,790,28,6,0,120,1410,91,10,9,43,12.99,Bowl
55,Whole Margarita,690,21,10,0,40,1200,95,8,7,30,11.49,Pizza
56,1/2 Margarita,345,10.5,5,0,20,600,47.5,4,3.5,15,7.49,Pizza
57,Whole Cheese,740,17,10,0,45,1800,109,8,8,36,10.49,Pizza
58,1/2 Cheese,370,8.5,5,0,22.5,900,54.5,4,4,18,6.49,Pizza
59,Whole Pepe,930,37,14,0,75,3630,107,10,7,43,12.99,Pizza
60,1/2 Pepe,465,18.5,7,0,37.5,1815,53.5,5,3.5,21.5,7.99,Pizza
61,Whole Street Corn,1010,40,19,0,90,2980,123,13,12,44,12.99,Pizza
62,1/2 Street Corn,505,20,9.5,0,45,1490,61.5,6.5,6,22,7.99,Pizza
63,Whole BBQ,980,27,10,0,110,2980,128,10,26,55,13.59,Pizza
64,1/2 BBQ,490,13.5,5,0,55,1490,64,5,13,27.5,8.59,Pizza
65,Greens + Grana Salad,30,1.5,1,0,5,75,1,0,0,2,2.49,Side
66,Kale Caesar Salad,70,7,1,0,10,105,1,1,0,2,2.49,Side
67,Fire Roasted Veggies,80,4.5,0.5,0,0,390,11,3,5,2,3.49,Side
68,Great Lakes Original,150,9,1,0,0,95,17,1,1,2,1.49,Chip
69,Great Lakes Barbeque,150,9,1,0,0,95,17,1,1,2,1.49,Chip
70,Great Lakes Salt & Vinegar,150,9,1,0,0,95,17,1,1,2,1.49,Chip
71,Chick-fil-A Chicken Sandwich,440,17,4,0,70,1400,41,1,6,29,5.39,Entree
72,Chick-fil-A Deluxe Sandwich,500,22,7,0,85,1640,44,2,7,32,6.09,Entree
73,Spicy Chicken Sandwich,460,19,4,0,65,1670,45,2,6,28,5.69,Entree
74,Spicy Deluxe Sandwich,550,25,8,0,85,1810,47,3,7,33,6.39,Entree
