day,meal_type,name,serving_size,calories,total_fat,total_carbohydrate,protein,category
Monday,Breakfast,Bar Kind Caramel Sea Salt Almond 1.4z,1.4z bar,200, 16, 15, 6,Bar
Monday,Breakfast,Bar Kind Crnbry Almond 12ct,1.4z bar,190, 13, 18, 4,Bar
Monday,Breakfast,Bar Kind Dk Choc Cherry Cashew 12ct,1.4z bar,170, 10, 22, 4,Bar
Monday,Breakfast,Bar Pure Protein Chewy Choc Chip 50g,Bar,null,null,null,null,Bar
Monday,Breakfast,Bar Pure Protein Choc Delux 50g,Bar,null,null,null,null,Bar
Monday,Breakfast,Bar Pure Protein Choc PB 50g,Bar,null,null,null,null,Bar
Monday,Breakfast,Bar Quest Birthday Cake 2.12z,2.12z bar,null,null,null,null,Bar
Monday,Breakfast,Bar Quest Cookies & Cream,2.12z bar,null,null,null,null,Bar
Monday,Breakfast,Beef Cup of Noodles,Pkg,null,null,null,null,Snack
Monday,Breakfast,Biscuit Belvita Blbry,Bar,230, 8, 36, 4,Bar
Monday,Breakfast,Biscuit Belvita Cinn & Brn Sugar 1.76z,1.76z bar,null,null,null,null,Bar
Monday,Breakfast,California Seedless Raisins,Ounce,80, 0, 22, < 1,Toppings
Monday,Breakfast,Cheerios Bowl,1ct,130, 2.5, 26, 4,Cereal
Monday,Breakfast,Cheese Stick Colby Jack Sargento 1z,1z stick,60, 2.5, 6, 5,Cheese
Monday,Breakfast,Cheese Stick Mild Cheddar Sargento 1z,1z stick,60, 2.5, 6, 5,Cheese
Monday,Breakfast,Cheese Stick Pepper Jack,0.83z,50, 2, 5, 4,Cheese
Monday,Breakfast,Cheez It,Ounce,130, 4.5, 19, 3,Miscellaneous
Monday,Breakfast,Chef's Salad,Salad,290, 19, 8, 25,Salad
Monday,Breakfast,Chip Pringles Cheezums,1.41z,210, 14, 21, 3,Snack
Monday,Breakfast,Chocolate Snack Pudding,3.5z Cup,110, 2.5, 20, 1,Snack
Monday,Breakfast,Cinnamon Graham Cracker Tiger Bites,1z,120, 4, 21, 2,Miscellaneous
Monday,Breakfast,Crunchmania Cinnamon Snack Bun,1.76z,210, 7, 37, 3,Snack
Monday,Breakfast,Frosted Blueberry Pop Tarts,2 Pop Tarts,370, 9, 70, 3,Snack
Monday,Breakfast,Frosted Brown Sugar Pop Tarts,2 Pop Tarts,0, 14, 72, 4,Snack
Monday,Breakfast,Frosted Flakes,Cup,320, 0, 67, 13,Cereal
Monday,Breakfast,Frosted Strawberry Pop Tarts,8ct box,1480, 36, 280, 12,Snack
Monday,Breakfast,Fruit Rollups,0.5z,50, 1, 11, 0,Miscellaneous
Monday,Breakfast,Garden Salad,Salad,35, 0, 7, 3,Salad
Monday,Breakfast,Gourmet Chocolate Chunk Cookie,2.5z cookie,320, 14, 44, 4,Cookie
Monday,Breakfast,Healthy Grain Dk Choc Chnk Kind Bar,1.4z Bar,170, 5, 29, 2,Bar
Monday,Breakfast,Heart Healthy Mix Planters 9.75z,9.75z,null,null,null,null,Miscellaneous
Monday,Breakfast,Ice Cream Mochi Cookie n Cream,1.5z,null,null,null,null,Cookie
Monday,Breakfast,Ice Cream Mochi Dbl Choc,1.5z,null,null,null,null,Ice Cream
Monday,Breakfast,Ice Cream Mochi Mango,1ct,null,null,null,null,Ice Cream
Monday,Breakfast,Ice Cream Mochi Strbry,1.5z,null,null,null,null,Ice Cream
Monday,Breakfast,Lucky Charms Bowl,Bowl,140, 1.5, 29, 3,Cereal
Monday,Breakfast,Mandarin Orange in Juice Cup,4.5z,50, 0, 13, < 1,Drinks
Monday,Breakfast,Maruchan Cup of Noodles Chix 2.25z cup,2.25z,null,null,null,null,Snack
Monday,Breakfast,Mayonnaise Packet,12gm packet,80, 9, 0, 0,Toppings
Monday,Breakfast,Milk Almond Silk Dk Choc,8z Cont.,null,null,null,null,Drinks
Monday,Breakfast,Mini Oreo Cookie,Bags,190, 10, 25, 1,Cookie
Monday,Breakfast,Mozzarella Cheese String,Each,80, 6, 0, 8,Cheese
Monday,Breakfast,Mustard Pc,.2z Pkt,0, 0, 0, 0,Toppings
Monday,Breakfast,Oat & Honey Nature Valley Granola Bar,1.5z bar,190, 7, 29, 3,Bar
Monday,Breakfast,Parm Garlic Hrb Pita Chips,1.5z bag,200, 7, 27, 5,Snack
Monday,Breakfast,Peanut Butter & Grape Jelly Uncrustable,2.6z sandw,290, 15, 31, 9,Snack
Monday,Breakfast,Peanut Butter & Strawberry Uncrustable,2.6z,290, 15, 32, 9,Snack
Monday,Breakfast,Plant Based Nut Free Queso Style Dip,1.75z,null,null,null,null,Miscellaneous
Monday,Breakfast,Popcorn Micro Butter-Flavor,3.3z,380, 17, 55, 9,Snack
Monday,Breakfast,Powerade Fruit Punch,20z Bottle,null,null,null,null,Drinks
Monday,Breakfast,Powerade Mountain Berry Blast,20z Bottle,170,null, 45,null,Drinks
Monday,Breakfast,Powerade Orange,20z Bottle,null,null,null,null,Drinks
Monday,Breakfast,Powerade Zero Grape,20z Bottle,null,null,null,null,Drinks
Monday,Breakfast,Powerade Zero Mixed Berry,20z,null,null,null,null,Drinks
Monday,Breakfast,Pringles Original Potato Chip,1.3z Pkg,200, 12, 20, 2,Snack
Monday,Breakfast,Pringles Sour Cream & Onion Chip,1.41z,210, 14, 21, 3,Snack
Monday,Breakfast,Raisin Bran,Cup,240, 1.5, 60, 6,Cereal
Monday,Breakfast,Regular Lays Chips,1z Bag,160, 10, 15, 2,Snack
Monday,Breakfast,Regular Ruffles Chips,1z bag,160, 10, 15, 2,Snack
Monday,Breakfast,Shrimp Cup of Noodles,2.25z,null,null,null,null,Snack
Monday,Breakfast,Sliced Apple Pc,2.4z,35, 0, 8, 0,Fruit
Monday,Breakfast,Smoothie Bolthouse Farm Berry Boost,Bottle,null,null,null,null,Miscellaneous
Monday,Breakfast,Smoothie Bolthouse Farm C-Boost,Bottle,null,null,null,null,Miscellaneous
Monday,Breakfast,Smoothie Bolthouse Farm Green Goodness,Bottle,null,null,null,null,Miscellaneous
Monday,Breakfast,Smoothie Bolthouse Farm Strb Banana,Bottle,null,null,null,null,Fruit
Monday,Breakfast,S'more Frosted Pop Tart,6ct,1110, 27, 201, 15,Miscellaneous
