day,meal_type,name,serving_size,calories,total_fat
Monday,Breakfast,Bar Kind Caramel Sea Salt Almond 1.4z,1.4z bar,200, 16
Monday,Breakfast,Bar Kind Crnbry Almond 12ct,1.4z bar,190, 13
Monday,Breakfast,Bar Kind Dk Choc Cherry Cashew 12ct,1.4z bar,170, 10
Monday,Breakfast,Bar Pure Protein Chewy Choc Chip 50g,Bar,null,null
Monday,Breakfast,Bar Pure Protein Choc Delux 50g,Bar,null,null
Monday,Breakfast,Bar Pure Protein Choc PB 50g,Bar,null,null
Monday,Breakfast,Bar Quest Birthday Cake 2.12z,2.12z bar,null,null
Monday,Breakfast,Bar Quest Cookies & Cream,2.12z bar,null,null
Monday,Breakfast,Beef Cup of Noodles,Pkg,null,null
Monday,Breakfast,Biscuit Belvita Blbry,Bar,230, 8
Monday,Breakfast,Biscuit Belvita Cinn & Brn Sugar 1.76z,1.76z bar,null,null
Monday,Breakfast,California Seedless Raisins,Ounce,80, 0
Monday,Breakfast,Cheerios Bowl,1ct,130, 2.5
Monday,Breakfast,Cheese Stick Colby Jack Sargento 1z,1z stick,60, 2.5
Monday,Breakfast,Cheese Stick Mild Cheddar Sargento 1z,1z stick,60, 2.5
Monday,Breakfast,Cheese Stick Pepper Jack,0.83z,50, 2
Monday,Breakfast,Cheez It,Ounce,130, 4.5
Monday,Breakfast,Chef's Salad,Salad,290, 19
Monday,Breakfast,Chip Pringles Cheezums,1.41z,210, 14
Monday,Breakfast,Chocolate Snack Pudding,3.5z Cup,110, 2.5
Monday,Breakfast,Cinnamon Graham Cracker Tiger Bites,1z,120, 4
Monday,Breakfast,Crunchmania Cinnamon Snack Bun,1.76z,210, 7
Monday,Breakfast,Frosted Blueberry Pop Tarts,2 Pop Tarts,370, 9
Monday,Breakfast,Frosted Brown Sugar Pop Tarts,2 Pop Tarts,0, 14
Monday,Breakfast,Frosted Flakes,Cup,320, 0
Monday,Breakfast,Frosted Strawberry Pop Tarts,8ct box,1480, 36
Monday,Breakfast,Fruit Rollups,0.5z,50, 1
Monday,Breakfast,Garden Salad,Salad,35, 0
Monday,Breakfast,Gourmet Chocolate Chunk Cookie,2.5z cookie,320, 14
Monday,Breakfast,Healthy Grain Dk Choc Chnk Kind Bar,1.4z Bar,170, 5
Monday,Breakfast,Heart Healthy Mix Planters 9.75z,9.75z,null,null
Monday,Breakfast,Ice Cream Mochi Cookie n Cream,1.5z,null,null
Monday,Breakfast,Ice Cream Mochi Dbl Choc,1.5z,null,null
Monday,Breakfast,Ice Cream Mochi Mango,1ct,null,null
Monday,Breakfast,Ice Cream Mochi Strbry,1.5z,null,null
Monday,Breakfast,Lucky Charms Bowl,Bowl,140, 1.5
Monday,Breakfast,Mandarin Orange in Juice Cup,4.5z,50, 0
Monday,Breakfast,Maruchan Cup of Noodles Chix 2.25z cup,2.25z,null,null
Monday,Breakfast,Mayonnaise Packet,12gm packet,80, 9
Monday,Breakfast,Milk Almond Silk Dk Choc,8z Cont.,null,null
Monday,Breakfast,Mini Oreo Cookie,Bags,190, 10
Monday,Breakfast,Mozzarella Cheese String,Each,80, 6
Monday,Breakfast,Mustard Pc,.2z Pkt,0, 0
Monday,Breakfast,Oat & Honey Nature Valley Granola Bar,1.5z bar,190, 7
Monday,Breakfast,Parm Garlic Hrb Pita Chips,1.5z bag,200, 7
Monday,Breakfast,Peanut Butter & Grape Jelly Uncrustable,2.6z sandw,290, 15
Monday,Breakfast,Peanut Butter & Strawberry Uncrustable,2.6z,290, 15
Monday,Breakfast,Plant Based Nut Free Queso Style Dip,1.75z,null,null
