day,meal_type,name,serving_size,calories,total_fat,total_carbohydrate,protein,category
Monday,Breakfast,100% Honey Pc,Pkt,25, 0, 7, 0,Toppings
Monday,Breakfast,Brewed coffee,6z Portion,0, 0, 0, 0,Miscellaneous
Monday,Breakfast,Coca Cola Classic Fountain 12z,12z Cup,0,null,null,null,Miscellaneous
Monday,Breakfast,Coca Cola Diet Fountain 12z,12z Cup,0,null,null,null,Drinks
Monday,Breakfast,Coffeemate Original,Fluid Oz,30, 3, 0, 0,Drinks
Monday,Breakfast,Coke Cherry Fountain 12z,12z Cups,0,null,null,null,Drinks
Monday,Breakfast,Coke Zero Fountain 12z,12z Cups,0,null,null,null,Drinks
Monday,Breakfast,Creamer French Vanilla Coffeemate 1.5L,Fluid Oz,60, 3.5, 8, 0,Toppings
Monday,Breakfast,ecoStick Sugar Substitute Pink Pc,Stick,0, 0, 1, 0,Toppings
Monday,Breakfast,ecoStick Sugar Substitute Yellow Pc,Stick,0, 0, 1, 0,Toppings
Monday,Breakfast,Green Tea Bag,Tea Bag,0, 0, 0, 0,Drinks
Monday,Breakfast,Hazelnut Coffee Creamer,Fluid Oz,10, 0, 2, 0,Toppings
Monday,Breakfast,Lipton Black Tea Bag,Tea Bag,0, 0, 0, 0,Drinks
Monday,Breakfast,Lipton Tea Decaf,Tea Bag,null,null,null,null,Drinks
Monday,Breakfast,Original Style Lemonade,1 dining hall glass,null,null,null,null,Drinks
Monday,Breakfast,Root Beer Barq's Fountain 12z,12z Cups,0,null,null,null,Bar
Monday,Breakfast,Sprite Diet Fountain 12z,12z Cup,0, 0, 0, 0,Drinks
Monday,Breakfast,Juice Apple DH,6 Flz Cup,15, 0, 3, 0,Drinks
Monday,Breakfast,Juice Cranberry DH,6 Flz Cup,70, 0, 17, 0,Drinks
Monday,Breakfast,Juice Orange DH,6 Flz Cup,15, 0, 4, 0,Drinks
Monday,Breakfast,Pibb Extra Fountain 12z,12 Flz Cup,0,null,null,null,Drinks
Monday,Breakfast,Powerade Mountain Blast 12z,12 Flz Cup,0,null,null,null,Drinks
Monday,Breakfast,Sprite Fountain 12z,12 Flz Cup,0,null,null,null,Drinks
